"sigma_yy","strain:0","strain:1","strain:2"
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
nan,nan,nan,nan
0.025356,0.026965,0.24599,1.0714e-15
0.024291,0.028452,0.2268,9.1827e-16
0.023226,0.029938,0.2076,7.6511e-16
0.022161,0.031424,0.18841,6.1195e-16
0.021096,0.032911,0.16921,4.588e-16
0.020032,0.034397,0.15002,3.0564e-16
0.018967,0.035883,0.13082,1.5248e-16
0.017902,0.03737,0.11163,-6.6887e-19
0.016957,0.038588,0.097344,-8.9621e-17
0.016253,0.039271,0.09288,-5.0159e-17
0.015548,0.039953,0.088417,-1.0698e-17
0.014844,0.040636,0.083954,2.8764e-17
0.014139,0.041318,0.079491,6.8224e-17
0.013435,0.042001,0.075027,1.0769e-16
0.01273,0.042684,0.070564,1.4715e-16
0.012026,0.043366,0.066101,1.8661e-16
0.011322,0.044049,0.061638,2.2607e-16
0.010617,0.044731,0.057174,2.6554e-16
0.0099126,0.045414,0.052711,3.05e-16
0.0092081,0.046097,0.048248,3.4446e-16
0.0085036,0.046779,0.043785,3.8392e-16
0.0077991,0.047462,0.039322,4.2338e-16
0.0070946,0.048144,0.034858,4.6284e-16
0.0063901,0.048827,0.030395,5.023e-16
0.0056856,0.04951,0.025932,5.4177e-16
0.0053405,0.049718,0.024084,5.5692e-16
0.0051751,0.04969,0.023543,5.5992e-16
0.0050097,0.049662,0.023002,5.6292e-16
0.0048442,0.049634,0.022461,5.6592e-16
0.0046788,0.049605,0.02192,5.6892e-16
0.0045134,0.049577,0.021379,5.7192e-16
0.0043479,0.049549,0.020839,5.7492e-16
0.0041825,0.049521,0.020298,5.7792e-16
0.0040171,0.049493,0.019757,5.8092e-16
0.0038517,0.049464,0.019216,5.8392e-16
0.0036862,0.049436,0.018675,5.8692e-16
0.0035208,0.049408,0.018134,5.8992e-16
0.0033554,0.04938,0.017594,5.9292e-16
0.0031899,0.049351,0.017053,5.9592e-16
0.0030245,0.049323,0.016512,5.9892e-16
0.0028591,0.049295,0.015971,6.0192e-16
0.0026937,0.049267,0.01543,6.0492e-16
0.0025282,0.049239,0.014889,6.0792e-16
0.0023628,0.04921,0.014349,6.1092e-16
0.0021974,0.049182,0.013808,6.1392e-16
0.0020319,0.049154,0.013267,6.1692e-16
0.0018665,0.049126,0.012726,6.1992e-16
0.0017011,0.049098,0.012185,6.2292e-16
0.0015357,0.049069,0.011644,6.2592e-16
0.0013702,0.049041,0.011103,6.2892e-16
0.0012048,0.049013,0.010563,6.3192e-16
0.0010394,0.048985,0.010022,6.3492e-16
0.00087396,0.048956,0.009481,6.3791e-16
0.00070852,0.048928,0.0089401,6.4091e-16
0.0005431,0.0489,0.0083993,6.4391e-16
0.00037767,0.048872,0.0078585,6.4691e-16
0.00021224,0.048844,0.0073176,6.4991e-16
4.6818e-05,0.048815,0.0067768,6.5291e-16
-6.5702e-05,0.048757,0.0063835,6.4326e-16
