Time,length,f_elec,f_flex,f_frac,f_grad,g_v
0,40,-1294.3,-1.0423,401.63,0.30495,109.0456057
1,40,-1483.6,-1.5309,417.66,1.1585,-18.34848184
2,40,-1009.5,-1.0642,415.49,2.0309,-28.58389698
3,40,-720.4,-0.81047,414.23,2.7606,-32.18107219
4,40,-537.03,-0.66026,413.2,3.327,-33.15045658
5,40,-416.41,-0.56642,412.16,3.7539,-13.21315704
6,40,-335.92,-0.51003,411.73,4.106,-13.13463619
7,40,-279.19,-0.47169,411.29,4.3844,-13.02244913
8,40,-238.01,-0.44498,410.83,4.6062,-12.88835805
9,40,-207.29,-0.42597,410.36,4.7845,-12.73379714
10,40,-183.79,-0.41221,409.88,4.9293,-12.56715712
11,40,-165.37,-0.40216,409.39,5.0481,-12.39063524
12,40,-150.62,-0.39483,408.9,5.1466,-12.20723565
13,40,-138.58,-0.38958,408.39,5.2289,-12.01811331
14,40,-128.58,-0.38597,407.89,5.2982,-11.82808989
15,40,-120.13,-0.38373,407.37,5.357,-11.6370332
16,40,-112.91,-0.38265,406.86,5.407,-11.45007136
17,40,-106.65,-0.38259,406.34,5.4497,-11.26559507
18,40,-101.17,-0.38345,405.82,5.4861,-11.08172441
19,40,-96.325,-0.38514,405.3,5.517,-10.90057028
20,40,-92.011,-0.38761,404.79,5.5433,-10.72132721
21,40,-88.141,-0.39079,404.27,5.5652,-10.54521311
22,40,-84.649,-0.39466,403.76,5.5833,-10.37331691
23,40,-81.48,-0.39918,403.25,5.598,-10.20345701
24,40,-78.592,-0.4043,402.75,5.6094,-10.03792069
25,40,-75.948,-0.41001,402.25,5.6179,-12.32272217
26,40,-73.483,-0.41585,401.63,5.6168,-12.07411796
27,40,-64.358,-0.21198,494.06,7.1191,-11.83424548
28,40,-57.667,-0.16398,587.81,9.4832,-11.59952084
29,40,-57.538,-0.13602,651.88,11.49,-9.113699407
30,40,-57.046,-0.13175,660.98,11.836,-8.974730334
31,40,-57.572,-0.12273,670,12.211,-8.838588847
32,40,-56.308,-0.12303,668.91,12.188,-8.705172157
33,40,-55.153,-0.12332,667.84,12.159,-8.575944586
34,40,-54.095,-0.12359,666.79,12.124,-8.448734252
35,40,-53.125,-0.12387,665.76,12.084,-8.325320377
