,t,crack_length,g_frac,g_v,Fy
0,1.0,40.0,-6.957037455327112,95.02572716708929,1625.301625858535
378,379.0,40.5,-20.825018775708667,-20.895374035927848,2037.129642330858
416,417.0,41.0,-20.062018703922835,-25.241352142092808,2083.228481261142
451,452.0,41.5,-21.06358842311017,-26.789679667788484,2120.5780463439046
483,484.0,42.0,-22.541728198621264,-29.708191031996463,2148.983287400284
515,516.0,42.5,-21.85876250621033,-30.077355756077623,2170.6336826996467
546,547.0,43.0,-20.57603182337783,-32.00727329597179,2185.7783149132374
577,578.0,43.5,-20.327782092540986,-31.348061054496164,2194.5233783113817
608,609.0,44.0,-22.0217980558796,-32.2319759342659,2196.7990384956124
639,640.0,44.5,-23.35138427795888,-30.9273999079324,2190.5563610197946
672,673.0,45.0,-22.32211112834788,-31.60793620660065,2176.169125762372
704,705.0,45.5,-21.19903851710692,-30.304906989434905,2155.0751881250903
737,738.0,46.0,-22.743960478309575,-30.96551381450439,2126.090796843967
770,771.0,46.5,-23.99809007508504,-29.90609571838265,2082.1889832410434
803,804.0,47.0,-22.74123669732255,-31.44782643402885,2026.345501929887
835,836.0,47.5,-21.39876803616261,-31.014233985029776,1975.251283611509
866,867.0,48.0,-22.830691650688685,-32.20170787303164,1904.563907085092
898,899.0,48.5,-23.97950810050621,-31.75274639588824,1861.1947499468224
928,929.0,49.0,-22.785135071038724,-34.229960062051894,1848.238682206439
957,958.0,49.5,-22.76604969137789,-34.663783617508265,1843.988408638502
985,986.0,50.0,-23.994855895632075,-37.16892118618262,1845.924557253968
1012,1013.0,50.5,-22.637073701162887,-37.46525900144166,1848.772000789196
1038,1039.0,51.0,-21.120777870656077,-40.3240074644793,1852.292365619711
1063,1064.0,51.5,-22.44887036668684,-40.843852866574174,1856.349783564361
1087,1088.0,52.0,-23.809284414574023,-43.47760361667228,1861.746889421256
1110,1111.0,52.5,-22.444598773077672,-43.998470029874525,1866.0520609080568
1133,1134.0,53.0,-20.911981302732254,-47.05092935843745,1869.685329949681
1154,1155.0,53.5,-22.237017548134556,-47.98844120610682,1873.0521076829975
1176,1177.0,54.0,-23.575602545321495,-50.78470678006612,1877.8081726392252
1196,1197.0,54.5,-22.185734631792343,-51.63519023173171,1880.746774579649
1215,1216.0,55.0,-20.55485948413404,-54.67925131715432,1882.4790254236293
1234,1235.0,55.5,-20.563900844833093,-56.20816550433268,1884.4042053648736
1253,1254.0,56.0,-22.055217021088257,-59.05027033590293,1887.2137541297652
1270,1271.0,56.5,-23.087101160174686,-60.51535520496304,1887.3414546318709
1288,1289.0,57.0,-21.762718171458555,-63.53720128708392,1885.7899676121272
1304,1305.0,57.5,-20.505717458297003,-65.32818663681552,1884.741491343036
1321,1322.0,58.0,-21.876822090327224,-67.98465755899915,1883.8920129189917
1336,1337.0,58.5,-22.94333813558204,-69.84086139843428,1880.269778607666
1352,1353.0,59.0,-21.780603147069066,-72.65487617976586,1874.951340057344
1367,1368.0,59.5,-21.907926348022396,-74.79286253827091,1869.68002156748
1382,1383.0,60.0,-23.30396206332782,-77.19658275786462,1864.212006603992
1396,1397.0,60.5,-22.518363506233698,-79.21426958861845,1856.391546239748
1410,1411.0,61.0,-20.95659588669252,-81.81783907816691,1847.346358545981
1423,1424.0,61.5,-20.6133066759928,-84.19342145881058,1838.1127366733865
1437,1438.0,62.0,-22.304757999808555,-86.03157784385449,1828.342464914624
1450,1451.0,62.5,-23.50314893475477,-88.43328596805274,1817.5054091519412
1463,1464.0,63.0,-22.27082211672736,-90.4670012587785,1807.077849564105
1475,1476.0,63.5,-21.09582053841779,-93.11054769048414,1798.2366443962003
1488,1489.0,64.0,-22.652057067748014,-94.51563136728625,1790.5446652971243
1500,1501.0,64.5,-23.81948111603836,-97.32732162365072,1782.0689311406863
1512,1513.0,65.0,-22.61115735787649,-98.88424568981388,1773.2863988561985
1523,1524.0,65.5,-22.773185823051247,-101.99591188682604,1764.9399395475934
1535,1536.0,66.0,-24.223132234222952,-102.54549864427976,1756.604093602704
1546,1547.0,66.5,-24.077063262818427,-105.67617224039996,1746.6763411440422
1558,1559.0,67.0,-22.653875488612787,-106.25159203952155,1735.1217064862774
1568,1569.0,67.5,-22.83795976834755,-109.24720618219716,1725.3403199066906
1580,1581.0,68.0,-24.281053533760144,-109.24410856921908,1715.451319425647
1590,1591.0,68.5,-24.159421288235013,-112.42164277976175,1706.281163199155
1601,1602.0,69.0,-22.75017052033257,-112.19816859058042,1696.867265656796
1611,1612.0,69.5,-22.94572052741351,-116.05006672761064,1688.808105317455
1622,1623.0,70.0,-24.43827697067079,-115.62424584941836,1681.8268709480883
1632,1633.0,70.5,-24.294410426474247,-119.67784985249446,1673.664849829999
1642,1643.0,71.0,-22.89232880885254,-119.3677921736541,1664.9194907249057
1652,1653.0,71.5,-23.08400761531964,-123.74243507663356,1655.3171926287798
1662,1663.0,72.0,-24.62656694163452,-122.44836038934936,1646.5243612887748
1672,1673.0,72.5,-24.444002067221792,-126.89716818104426,1635.3866761557513
1682,1683.0,73.0,-22.98039449791301,-126.0944211459067,1624.1039638160248
1691,1692.0,73.5,-23.224824702526853,-130.27497399552493,1613.7625872113088
1701,1702.0,74.0,-24.75197252538339,-129.2832324426495,1603.471574328683
1710,1711.0,74.5,-24.59024007203248,-133.8006814454652,1592.4709811218868
1719,1720.0,75.0,-23.123168786167817,-132.67381828773154,1582.2270374602715
1728,1729.0,75.5,-23.334494425577898,-138.4024391058146,1572.0183396137074
1737,1738.0,76.0,-24.77411852899735,-136.71712235669,1562.389561844834
1746,1747.0,76.5,-23.074557768065866,-143.01141193407616,1549.8574066074573
1755,1756.0,77.0,-21.307973082783107,-143.13643518411058,1538.652447660711
1763,1764.0,77.5,-23.161989147199986,-149.44874121924818,1528.0467787804866
1771,1772.0,78.0,-24.793958480848623,-147.0850265257754,1513.9034089199474
1779,1780.0,78.5,-23.058911289646392,-155.80985796629463,1490.7633999591674
1788,1789.0,79.0,-20.97201474692416,-156.5975193848948,1464.0096516561905
1795,1796.0,79.5,-21.21306735660609,-164.83875193910964,1440.800660286979
1803,1804.0,80.0,-23.051625097613336,-163.56399484012678,1402.4543770992625
1810,1811.0,80.5,-24.26365803790049,-173.6384178539835,1360.9232279887972
1818,1819.0,81.0,-22.389671654008417,-173.64726904411535,1317.030402582381
1824,1825.0,81.5,-20.972633977991745,-184.32032960709813,1294.113059287112
1832,1833.0,82.0,-22.54206794344637,-183.84214341495053,1281.508461593162
1838,1839.0,82.5,-23.828934793582395,-195.3143600794573,1259.5668160678022
1845,1846.0,83.0,-21.78046762102782,-194.15325367124063,1219.052020392027
1851,1852.0,83.5,-20.15470763710293,-208.0098824454873,1190.5110423402225
1857,1858.0,84.0,-22.208248269772614,-203.46753520550251,1190.2721885981716
1863,1864.0,84.5,-23.71352969670937,-220.2210776392658,1214.0927941035354
1869,1870.0,85.0,-21.80406525494456,-216.0926902908153,1243.4055607676107
1874,1875.0,85.5,-21.905536125971217,-232.9370290414779,1258.5294031353442
1880,1881.0,86.0,-23.64407101890825,-226.76872854445705,1265.625736585659
1885,1886.0,86.5,-24.06423606880456,-244.96557497507845,1254.6856269701575
1891,1892.0,87.0,-22.1789527846231,-238.42924945686988,1227.7840457973582
1896,1897.0,87.5,-22.863772324412007,-252.94619330625463,1200.5435171707138
1902,1903.0,88.0,-25.436432718481488,-239.2045327254697,1170.8956205166478
