Time,f_flex,f_frac,f_grad,length
0,-1.9491,687.03,0.29567,40
1,1.8377,733.19,0.78267,40
2,-0.3912,730.11,1.1923,40
3,-1.9615,727.86,1.5116,40
4,-3.0796,726.14,1.759,40
5,-3.8999,724.75,1.9521,40
6,-4.5243,723.61,2.1042,40
7,-5.0195,722.64,2.2251,40
8,-5.4291,721.82,2.3218,40
9,-5.7814,721.11,2.3999,40
10,-6.0946,720.5,2.4633,40
11,-6.3807,719.96,2.5151,40
12,-6.6472,719.49,2.558,40
13,-6.8991,719.07,2.5937,40
14,-7.1395,718.7,2.6237,40
15,-7.3385,718.57,2.6543,40
16,-7.4787,718.47,2.6807,40
17,-7.5811,718.38,2.7027,40
18,-7.6621,718.29,2.7214,40
19,-7.7315,718.2,2.7373,40
20,-7.7948,718.12,2.751,40
21,-7.8553,718.04,2.7629,40
22,-7.9149,717.96,2.7733,40
23,-7.9746,717.89,2.7826,40
24,-8.035,717.81,2.7909,40
25,-8.0963,717.75,2.7984,40
26,-8.1586,717.68,2.8052,40
27,-8.2218,717.62,2.8115,40
28,-8.2859,717.56,2.8174,40
29,-8.3506,717.5,2.8229,40
30,-8.4161,717.44,2.8281,40
31,-8.482,717.39,2.8331,40
32,-8.5483,717.34,2.8378,40
33,-8.6149,717.29,2.8425,40
34,-8.6818,717.25,2.847,40
35,-8.7487,717.2,2.8514,40
36,-8.8157,717.16,2.8557,40
37,-8.8827,717.12,2.8599,40
38,-8.9496,717.08,2.8641,40
39,-9.0165,717.05,2.8683,40
40,-9.0832,717.02,2.8724,40
41,-9.1497,716.98,2.8765,40
42,-9.216,716.96,2.8806,40
43,-9.2821,716.93,2.8847,40
44,-9.3479,716.9,2.8888,40
45,-9.4135,716.88,2.8928,40
46,-9.4788,716.86,2.8969,40
47,-9.5438,716.84,2.901,40
48,-9.6084,716.82,2.9051,40
49,-9.6728,716.8,2.9092,40
50,-9.7368,716.79,2.9134,40
51,-9.8004,716.77,2.9175,40
52,-9.8637,716.76,2.9217,40
53,-9.9266,716.75,2.9258,40
54,-9.9892,716.74,2.9301,40
55,-10.051,716.74,2.9343,40
56,-10.113,716.73,2.9385,40
57,-10.175,716.73,2.9428,40
58,-10.236,716.73,2.9471,40
59,-10.296,716.73,2.9514,40
60,-10.357,716.73,2.9557,40
61,-10.417,716.73,2.9601,40
62,-10.476,716.73,2.9645,40
63,-10.535,716.74,2.9689,40
64,-10.594,716.74,2.9733,40
65,-10.653,716.75,2.9778,40
66,-10.711,716.76,2.9822,40
67,-10.769,716.77,2.9867,40
68,-10.826,716.78,2.9913,40
69,-10.883,716.79,2.9958,40
70,-10.939,716.81,3.0004,40
71,-10.996,716.82,3.005,40
72,-11.051,716.84,3.0097,40
73,-11.107,716.86,3.0143,40
74,-11.162,716.88,3.019,40
75,-11.217,716.9,3.0237,40
76,-11.271,716.92,3.0284,40
77,-11.325,716.94,3.0332,40
78,-11.379,716.96,3.038,40
79,-11.432,716.99,3.0428,40
80,-11.485,717.01,3.0476,40
81,-11.537,717.04,3.0525,40
82,-11.59,717.07,3.0574,40
83,-11.641,717.1,3.0623,40
84,-11.693,717.13,3.0673,40
85,-11.744,717.16,3.0722,40
86,-11.795,717.19,3.0772,40
87,-11.845,717.22,3.0823,40
88,-11.896,717.25,3.0873,40
89,-11.946,717.29,3.0924,40
90,-11.995,717.32,3.0975,40
91,-12.044,717.36,3.1026,40
92,-12.093,717.39,3.1078,40
93,-12.142,717.43,3.113,40
94,-12.19,717.47,3.1182,40
95,-12.238,717.51,3.1234,40
96,-12.285,717.55,3.1287,40
97,-12.333,717.59,3.134,40
98,-12.38,717.64,3.1393,40
99,-12.426,717.68,3.1447,40
