,t,crack_length,g_frac,g_v,Fy,Time,f_flex,f_frac,f_grad
230,331.0,40.0,17.957283864292634,-19.709337540087027,1154.8110388542095,331,-120.06,738.62,6.4097
231,332.0,40.5,17.83295235230641,-19.66396318750706,1155.8855044588538,332,-120.21,738.83,6.4348
262,363.0,41.0,18.07777972331299,-25.377791751749758,1193.1118514249831,363,-125.21,746.92,7.4972
290,391.0,41.5,18.23953822165286,-27.61611692099167,1223.020295109063,391,-131.65,759.97,9.4517
315,416.0,42.0,18.574402197113532,-31.98858569513204,1246.5243579402168,416,-134.34,782.29,12.52
338,439.0,42.5,18.57924625680169,-33.577772234002445,1265.6953862833554,439,-130.42,791.49,16.534
360,461.0,43.0,18.5652203794878,-37.96845513232648,1282.1078444375855,461,-129.12,796.87,21.644
382,483.0,43.5,18.631963273200093,-39.43211060010876,1289.7280167375625,483,-134.46,808.9,28.782
402,503.0,44.0,18.711111808936195,-42.89706956528905,1289.1776769444275,503,-141.41,831.77,37.541
423,524.0,44.5,19.016865788726157,-43.37345696377951,1284.7455318724662,524,-141.93,841.44,48.212
442,543.0,45.0,18.92082480265112,-46.87151169870867,1277.347604199256,543,-138.88,846.03,58.356
461,562.0,45.5,18.98014222926683,-47.14438327953951,1262.1872203280273,562,-139.7,857.26,69.145
480,581.0,46.0,19.03927316650453,-49.52594313926277,1241.5218045141814,581,-146.61,881.5,80.803
499,600.0,46.5,19.34594038785788,-49.00148336718443,1217.4205627059018,600,-152.92,890.81,92.214
517,618.0,47.0,19.235195996927267,-51.53086771877527,1193.574274682733,618,-151.94,895.01,101.67
536,637.0,47.5,19.29949796981458,-51.04459365606351,1162.7814771133171,637,-150.03,906.82,110.01
554,655.0,48.0,19.351916381503266,-53.14893640548369,1130.0000956816243,655,-151.62,931.42,116.34
572,673.0,48.5,19.66937174264486,-52.109666485659744,1092.2788316072838,673,-156.24,940.06,120.67
589,690.0,49.0,19.54348760984616,-54.290186437436375,1052.625933130639,690,-154.6,943.94,123.27
607,708.0,49.5,19.598967573117005,-53.63771832856161,1001.0047205279968,708,-150.9,955.25,127.09
624,725.0,50.0,19.884170176144387,-55.34842640005473,945.1781083695752,725,-150.91,979.49,130.68
642,743.0,50.5,19.737123266724744,-54.10400073972557,881.1641703661691,743,-154.6,988.94,134.13
659,760.0,51.0,19.7564781618366,-56.50742058700881,848.9421522977618,760,-147.46,992.95,135.78
676,777.0,51.5,19.79864530263434,-56.298196264866746,826.7786469370458,777,-143.55,1004.0,135.05
693,794.0,52.0,20.11490332503057,-58.40955600946538,812.9063361532097,794,-145.93,1029.4,133.19
709,810.0,52.5,19.917750639040136,-57.804517069947785,804.2634002600731,810,-146.5,1038.0,132.31
726,827.0,53.0,19.909652246801723,-60.16029834478368,798.8094658246549,827,-137.48,1042.2,131.67
742,843.0,53.5,19.87470550511931,-59.62410569943105,789.3773473702398,843,-133.42,1053.2,130.97
758,859.0,54.0,20.150860201698563,-61.665043738333104,779.8526926532078,859,-136.7,1078.5,129.91
773,874.0,54.5,19.92462812391968,-61.05882957177639,773.12292740455,874,-142.17,1086.7,129.23
789,890.0,55.0,19.93853339074211,-63.2197803116655,771.082596133011,890,-138.0,1090.5,129.07
805,906.0,55.5,19.99904052087953,-62.7881756817435,765.9579929850775,906,-134.98,1101.8,129.34
820,921.0,56.0,20.05076196719061,-64.8222571051481,757.5986173691659,921,-136.07,1126.9,129.63
835,936.0,56.5,20.41809278843175,-64.29625575774374,747.9989816619753,936,-143.07,1135.3,128.93
850,951.0,57.0,20.23573109418372,-66.65091333828784,742.8348202761332,951,-145.85,1138.9,127.78
865,966.0,57.5,20.32234672364481,-66.48634534748942,737.3956748795442,966,-149.31,1149.9,127.43
880,981.0,58.0,20.34528032577422,-68.6306516248921,729.6756706089802,981,-149.4,1176.5,128.27
894,995.0,58.5,20.728493304519503,-68.11411959146743,719.0835495879141,995,-150.67,1184.4,128.52
908,1009.0,59.0,20.543127992000404,-70.45459881057167,711.013643423649,1009,-152.65,1187.4,126.88
922,1023.0,59.5,20.622951111134626,-70.68189957337309,702.5747508450254,1023,-162.71,1197.3,124.65
936,1037.0,60.0,20.93802819864225,-72.32856692977478,694.9280906305407,1037,-171.16,1223.5,123.69
950,1051.0,60.5,20.902951107888292,-72.22711458314829,685.5190602754836,1051,-177.73,1232.6,123.38
964,1065.0,61.0,20.790347828339996,-74.66208970636218,676.8663994044299,1065,-176.7,1235.9,122.3
977,1078.0,61.5,20.847880451110544,-74.7164655795807,667.3946368735536,1078,-181.32,1245.6,120.87
991,1092.0,62.0,20.88803175245051,-76.6976123511896,659.1460985939709,1092,-191.18,1272.9,119.85
1003,1104.0,62.5,21.23266480402144,-76.68566398410054,651.6578595021424,1104,-199.32,1280.0,118.94
1017,1118.0,63.0,21.0268202453375,-78.68963434334,643.7042097578753,1118,-203.07,1283.2,117.1
1029,1130.0,63.5,21.0648603648947,-78.95919718944678,634.096580565724,1130,-210.22,1292.2,115.4
1042,1143.0,64.0,21.06264920366101,-80.37715950868511,624.724800779787,1143,-216.02,1318.9,114.55
1055,1156.0,64.5,21.42960343060341,-80.41067218407359,617.2874981551943,1156,-219.13,1327.9,114.15
1068,1169.0,65.0,21.208617453059688,-82.62745202185258,612.5500786149273,1169,-219.96,1331.0,112.93
1080,1181.0,65.5,21.25089943390482,-82.61918826143504,603.0642590557824,1181,-228.38,1340.8,111.53
1092,1193.0,66.0,21.529856779140065,-84.18616609188167,591.7757844146747,1193,-237.66,1367.1,110.94
1104,1205.0,66.5,21.616255922158967,-84.43748289970334,582.5324546879184,1205,-246.72,1375.9,110.64
1116,1217.0,67.0,21.33126328074571,-85.93824644126354,579.1204874029015,1217,-247.02,1378.3,109.5
1128,1229.0,67.5,21.368011058065967,-86.620747320319,572.2665742418335,1229,-253.48,1387.7,107.98
1140,1241.0,68.0,21.658227791155443,-87.86171852448273,561.7851839977137,1241,-260.3,1414.2,107.24
1152,1253.0,68.5,21.749699329467607,-88.065876462812,551.1517285355142,1253,-267.13,1423.1,106.82
1164,1265.0,69.0,21.461749938743004,-89.91962472723615,546.7257980239037,1265,-271.42,1425.7,105.52
1175,1276.0,69.5,21.47907822696196,-90.15390990529627,540.9648442890255,1276,-275.98,1435.0,103.96
1187,1288.0,70.0,21.777556631071697,-91.72206041106288,530.0720054191115,1288,-278.62,1462.9,103.07
1198,1299.0,70.5,21.847096261262436,-91.67293889344649,518.019659043989,1299,-279.32,1470.4,102.39
1209,1310.0,71.0,21.54042807237379,-93.48424091635891,511.51877367862096,1310,-279.82,1472.6,100.83
1220,1321.0,71.5,21.55554890332394,-94.09142750053974,505.0347306725093,1321,-293.18,1481.8,98.856
1231,1332.0,72.0,21.84267436444363,-95.14040030762082,495.55814085117794,1332,-297.74,1508.9,97.61
1242,1343.0,72.5,21.905690736074583,-95.7753004665625,482.91781313479936,1343,-295.53,1518.2,96.598
1253,1354.0,73.0,21.604388273305045,-96.96653328432096,475.1002406014781,1354,-291.94,1520.2,94.591
1264,1365.0,73.5,21.62104678561344,-97.6369041150297,467.7179168777874,1365,-300.81,1529.8,92.165
1275,1376.0,74.0,21.916808622407608,-99.19843097140108,457.6556047194353,1376,-305.59,1558.1,90.642
1285,1386.0,74.5,21.95737422959417,-99.70868444910076,445.09231457073565,1386,-306.25,1565.6,89.499
1296,1397.0,75.0,21.661439073079578,-101.2997492781042,435.2152853869871,1397,-305.33,1568.3,87.258
1306,1407.0,75.5,21.65630742052973,-101.94630659562304,426.53701494329727,1407,-317.16,1577.4,84.832
1316,1417.0,76.0,21.91982983216772,-102.78419529328428,416.6265806788534,1417,-323.95,1604.8,83.254
1326,1427.0,76.5,21.664667833932857,-104.01837041210877,403.9575213343918,1427,-326.1,1614.1,82.07
1337,1438.0,77.0,21.65562113667287,-105.48946339085455,393.24528580723,1438,-325.96,1617.0,79.731
1346,1447.0,77.5,21.626585741678166,-106.79917269517792,384.0368762559741,1447,-338.46,1624.9,77.353
1357,1458.0,78.0,21.97166887681627,-107.67241282834782,371.2914584075221,1458,-347.42,1655.3,75.394
1366,1467.0,78.5,21.686223005762425,-108.69262927912187,359.3213532798424,1467,-349.02,1662.9,74.204
1376,1477.0,79.0,21.649008037685032,-109.80353913637023,349.60331642547004,1477,-347.98,1665.4,71.966
1386,1487.0,79.5,21.66286990375136,-111.3039342082614,338.5654860219333,1487,-362.2,1674.6,69.13
1396,1497.0,80.0,21.68279904972007,-112.55248540772504,324.85052917564724,1497,-369.87,1704.3,67.185
1405,1506.0,80.5,22.003074969765464,-113.90992903875257,307.4595557796598,1506,-370.53,1711.7,65.867
1415,1516.0,81.0,21.74915022213004,-116.39131562435564,289.8537134819396,1516,-370.29,1714.4,63.47
1423,1524.0,81.5,21.7111594597602,-118.69687580590414,275.94927126341963,1524,-383.15,1722.0,61.073
1433,1534.0,82.0,21.738774020102912,-120.35032354557588,256.79313563110856,1534,-391.29,1752.9,59.014
1441,1542.0,82.5,22.05904740731249,-123.00590689528744,240.61033696147535,1542,-392.2,1760.3,57.812
1450,1551.0,83.0,21.796374395462543,-123.87249677795498,228.1998600019028,1551,-389.69,1762.7,55.53
1459,1560.0,83.5,21.81675598509624,-127.24048230860264,214.26733032085207,1560,-404.65,1771.6,52.666
1468,1569.0,84.0,21.831238237088424,-128.4071131914658,195.89985309416716,1569,-412.47,1802.1,50.792
1476,1577.0,84.5,22.18570843175864,-130.84490914605234,178.0979084388633,1577,-413.05,1809.3,49.361
1485,1586.0,85.0,21.941690124818468,-132.00581957563884,163.6863809506985,1586,-411.78,1811.8,46.612
