Time,f_elec,f_flex,f_frac,f_grad,crack_length,,,
0,-6189.9,55.844,687.08,0.30797,40,,,
1,-6125.3,81.037,733.2,0.8017,40,,,
2,-6079.7,72.407,730.09,1.215,40,,,
3,-6049.3,61.2,727.82,1.5373,40,,,
4,-6029.4,50.114,726.08,1.7876,40,,,
5,-6016.3,39.918,724.68,1.9841,40,,,
6,-6007.7,30.738,723.53,2.1402,40,,,
7,-6002,22.503,722.56,2.2656,40,,,
8,-5998,15.09,721.74,2.3674,40,,,
9,-5995.1,8.3817,721.03,2.4509,40,,,
10,-5993,2.2742,720.42,2.5201,40,,,
11,-5991.3,-3.3175,719.89,2.5782,40,,,
12,-5989.9,-8.4628,719.42,2.6274,40,,,
13,-5988.6,-13.218,719.01,2.6696,40,,,
14,-5987.5,-17.629,718.65,2.7062,40,,,
15,-5986.4,-21.734,718.33,2.7385,40,,,
16,-5985.3,-25.565,718.05,2.7672,40,,,
17,-5984.3,-29.15,717.81,2.7932,40,,,
18,-5983.3,-32.511,717.6,2.8169,40,,,
19,-5982.3,-35.669,717.42,2.8387,40,,,
20,-5981.3,-38.641,717.27,2.8591,40,,,
21,-5980.3,-41.443,717.14,2.8783,40,,,
22,-5979.3,-44.087,717.04,2.8966,40,,,
23,-5978.3,-46.586,716.96,2.914,40,,,
24,-5977.3,-48.951,716.9,2.9307,40,,,
25,-5976.3,-51.191,716.86,2.9469,40,,,
26,-5975.3,-53.314,716.84,2.9625,40,,,
27,-5974.3,-55.329,716.83,2.9777,40,,,
28,-5973.4,-57.243,716.85,2.9926,40,,,
29,-5972.4,-59.061,716.88,3.0071,40,,,
30,-5971.4,-60.791,716.93,3.0212,40,,,
31,-5970.7,-62.226,716.97,3.0372,40,,,
32,-5970.4,-63.228,716.99,3.0551,40,,,
33,-5969.9,-64.012,717.01,3.0713,40,,,
34,-5969.5,-64.667,717.04,3.0864,40,,,
35,-5969.1,-65.247,717.06,3.1004,40,,,
36,-5968.6,-65.781,717.09,3.1135,40,,,
37,-5968.1,-66.287,717.11,3.126,40,,,
38,-5967.7,-66.774,717.14,3.1379,40,,,
39,-5967.2,-67.249,717.17,3.1492,40,,,
40,-5966.7,-67.714,717.2,3.1601,40,,,
41,-5966.3,-68.172,717.23,3.1706,40,,,
42,-5965.8,-68.624,717.26,3.1807,40,,,
43,-5965.3,-69.07,717.3,3.1906,40,,,
44,-5964.9,-69.511,717.33,3.2002,40,,,
45,-5964.4,-69.947,717.37,3.2095,40,,,
46,-5964,-70.379,717.41,3.2186,40,,,
47,-5963.5,-70.806,717.44,3.2275,40,,,
48,-5963,-71.228,717.48,3.2363,40,,,
49,-5962.6,-71.645,717.52,3.2449,40,,,
50,-5962.1,-72.058,717.56,3.2534,40,,,
51,-5961.6,-72.466,717.61,3.2617,40,,,
