Time,f_flex,f_frac,f_grad,crack_length,,,,
0,59.002,687.08,0.28861,40,,,,
1,76.722,733.19,0.7705,40,,,,
2,72.372,730.08,1.1768,40,,,,
3,64.198,727.81,1.4937,40,,,,
4,55.298,726.06,1.7396,40,,,,
5,46.725,724.66,1.9318,40,,,,
6,38.796,723.51,2.0835,40,,,,
7,31.561,722.55,2.2043,40,,,,
8,24.981,721.72,2.3012,40,,,,
9,18.989,721.02,2.3798,40,,,,
10,13.519,720.41,2.4439,40,,,,
11,8.5074,719.87,2.4968,40,,,,
12,3.9017,719.41,2.5409,40,,,,
13,-0.34445,719,2.5781,40,,,,
14,-4.2707,718.64,2.6098,40,,,,
15,-7.911,718.32,2.6373,40,,,,
16,-11.295,718.05,2.6614,40,,,,
17,-14.448,717.81,2.6828,40,,,,
18,-17.391,717.6,2.7021,40,,,,
19,-20.144,717.42,2.7197,40,,,,
20,-22.724,717.27,2.736,40,,,,
21,-25.146,717.14,2.7513,40,,,,
22,-27.423,717.04,2.7656,40,,,,
23,-29.565,716.97,2.7793,40,,,,
24,-31.584,716.91,2.7924,40,,,,
25,-33.489,716.87,2.805,40,,,,
26,-35.288,716.86,2.8172,40,,,,
27,-36.988,716.86,2.8292,40,,,,
28,-38.596,716.87,2.8408,40,,,,
29,-40.119,716.91,2.8522,40,,,,
30,-41.561,716.96,2.8634,40,,,,
31,-42.928,717.02,2.8744,40,,,,
32,-43.812,717.04,2.89,40,,,,
33,-44.495,717.07,2.9041,40,,,,
34,-45.059,717.09,2.9171,40,,,,
35,-45.552,717.12,2.9292,40,,,,
36,-46.002,717.15,2.9406,40,,,,
37,-46.424,717.17,2.9514,40,,,,
38,-46.827,717.2,2.9616,40,,,,
39,-47.217,717.23,2.9714,40,,,,
40,-47.597,717.27,2.9808,40,,,,
41,-47.968,717.3,2.9898,40,,,,
42,-48.333,717.33,2.9986,40,,,,
43,-48.691,717.37,3.007,40,,,,
44,-49.044,717.41,3.0152,40,,,,
45,-49.391,717.44,3.0232,40,,,,
46,-49.733,717.48,3.031,40,,,,
47,-50.07,717.52,3.0386,40,,,,
48,-50.402,717.56,3.0461,40,,,,
49,-50.729,717.6,3.0534,40,,,,
50,-51.052,717.65,3.0606,40,,,,
51,-51.371,717.69,3.0677,40,,,,
52,-51.685,717.74,3.0747,40,,,,
53,-51.996,717.78,3.0816,40,,,,
54,-52.302,717.83,3.0884,40,,,,
55,-52.604,717.87,3.0951,40,,,,
56,-52.902,717.92,3.1018,40,,,,
57,-53.196,717.97,3.1084,40,,,,
58,-53.486,718.02,3.1149,40,,,,
59,-53.773,718.07,3.1213,40,,,,
60,-54.056,718.12,3.1277,40,,,,
61,-54.335,718.17,3.1341,40,,,,
62,-54.611,718.22,3.1403,40,,,,
63,-54.883,718.28,3.1466,40,,,,
64,-55.152,718.33,3.1528,40,,,,
65,-55.417,718.39,3.1589,40,,,,
66,-55.679,718.44,3.165,40,,,,
67,-55.938,718.5,3.1711,40,,,,
68,-56.194,718.56,3.1771,40,,,,
69,-56.446,718.61,3.1831,40,,,,
70,-56.695,718.67,3.189,40,,,,
71,-56.942,718.73,3.1949,40,,,,
72,-57.185,718.79,3.2008,40,,,,
73,-57.425,718.85,3.2067,40,,,,
74,-57.662,718.91,3.2125,40,,,,
75,-57.897,718.97,3.2183,40,,,,
76,-58.129,719.03,3.2241,40,,,,
77,-58.357,719.1,3.2299,40,,,,
78,-58.584,719.16,3.2356,40,,,,
79,-58.807,719.22,3.2414,40,,,,
80,-59.028,719.29,3.2471,40,,,,
81,-59.246,719.35,3.2528,40,,,,
82,-59.462,719.41,3.2584,40,,,,
83,-59.675,719.48,3.2641,40,,,,
84,-59.886,719.54,3.2697,40,,,,
85,-60.094,719.61,3.2754,40,,,,
86,-60.3,719.68,3.281,40,,,,
87,-60.503,719.74,3.2866,40,,,,
88,-60.705,719.81,3.2922,40,,,,
89,-60.904,719.88,3.2978,40,,,,
90,-61.1,719.94,3.3034,40,,,,
91,-61.295,720.01,3.309,40,,,,
92,-61.487,720.08,3.3146,40,,,,
93,-61.677,720.15,3.3201,40,,,,
94,-61.865,720.22,3.3257,40,,,,
95,-62.051,720.29,3.3313,40,,,,
96,-62.235,720.36,3.3368,40,,,,
97,-62.416,720.43,3.3424,40,,,,
98,-62.596,720.5,3.348,40,,,,
99,-62.774,720.57,3.3535,40,,,,
100,-62.95,720.64,3.3591,40,,,,
101,-63.124,720.72,3.3647,40,,,,
102,-63.296,720.79,3.3702,40,,,,
103,-63.466,720.86,3.3758,40,,,,
104,-63.634,720.93,3.3814,40,,,,
105,-63.801,721,3.387,40,,,,
106,-63.966,721.08,3.3926,40,,,,
107,-64.129,721.15,3.3982,40,,,,
108,-64.29,721.22,3.4038,40,,,,
109,-64.45,721.29,3.4094,40,,,,
110,-64.608,721.37,3.415,40,,,,
111,-64.764,721.44,3.4206,40,,,,
112,-64.919,721.51,3.4263,40,,,,
113,-65.072,721.59,3.4319,40,,,,
114,-65.224,721.66,3.4376,40,,,,
115,-65.374,721.74,3.4432,40,,,,
116,-65.522,721.81,3.4489,40,,,,
117,-65.669,721.88,3.4546,40,,,,
118,-65.815,721.96,3.4603,40,,,,
119,-65.959,722.03,3.4661,40,,,,
120,-66.102,722.11,3.4718,40,,,,
121,-66.243,722.19,3.4776,40,,,,
122,-66.383,722.26,3.4833,40,,,,
123,-66.522,722.34,3.4891,40,,,,
124,-66.659,722.41,3.4949,40,,,,
125,-66.795,722.49,3.5007,40,,,,
126,-66.93,722.56,3.5065,40,,,,
127,-67.063,722.64,3.5124,40,,,,
128,-67.195,722.71,3.5182,40,,,,
129,-67.326,722.79,3.5241,40,,,,
130,-67.456,722.87,3.53,40,,,,
131,-67.584,722.94,3.5359,40,,,,
132,-67.711,723.02,3.5418,40,,,,
133,-67.837,723.09,3.5478,40,,,,
134,-67.962,723.17,3.5538,40,,,,
135,-68.086,723.25,3.5597,40,,,,
136,-68.209,723.32,3.5657,40,,,,
137,-68.331,723.4,3.5718,40,,,,
138,-68.451,723.48,3.5778,40,,,,
139,-68.571,723.55,3.5839,40,,,,
140,-68.689,723.63,3.59,40,,,,
141,-68.807,723.7,3.5961,40,,,,
142,-68.923,723.78,3.6022,40,,,,
143,-69.039,723.86,3.6083,40,,,,
144,-69.154,723.93,3.6145,40,,,,
145,-69.267,724.01,3.6207,40,,,,
