"sigma_yy","strain:0","strain:1","strain:2","Points:0","Points:1","Points:2"
-0.015144,0.051722,0.074193,-1.2977e-06,41.045,50,0
-0.014544,0.051859,0.071093,-1.2369e-06,41.1,50,0
-0.013944,0.051997,0.067993,-1.176e-06,41.155,50,0
-0.013344,0.052134,0.064894,-1.1151e-06,41.21,50,0
-0.012744,0.052272,0.061794,-1.0542e-06,41.265,50,0
-0.012144,0.052409,0.058694,-9.9335e-07,41.32,50,0
-0.011544,0.052547,0.055594,-9.3247e-07,41.375,50,0
-0.010944,0.052684,0.052494,-8.716e-07,41.43,50,0
-0.010344,0.052822,0.049394,-8.1072e-07,41.485,50,0
-0.0097437,0.052959,0.046294,-7.4985e-07,41.54,50,0
-0.0091436,0.053096,0.043195,-6.8897e-07,41.595,50,0
-0.0085436,0.053234,0.040095,-6.2809e-07,41.65,50,0
-0.0079435,0.053371,0.036995,-5.6722e-07,41.705,50,0
-0.0073435,0.053509,0.033895,-5.0635e-07,41.76,50,0
-0.0067434,0.053646,0.030795,-4.4547e-07,41.815,50,0
-0.0061434,0.053784,0.027696,-3.846e-07,41.87,50,0
-0.0055433,0.053921,0.024596,-3.2372e-07,41.925,50,0
-0.0049432,0.054059,0.021496,-2.6284e-07,41.98,50,0
-0.0046412,0.054015,0.020134,-2.3779e-07,42.035,50,0
-0.0045095,0.053868,0.019764,-2.3322e-07,42.09,50,0
-0.0043778,0.053722,0.019394,-2.2864e-07,42.145,50,0
-0.0042461,0.053575,0.019025,-2.2406e-07,42.2,50,0
-0.0041144,0.053428,0.018655,-2.1949e-07,42.255,50,0
-0.0039827,0.053281,0.018286,-2.1491e-07,42.31,50,0
-0.003851,0.053134,0.017916,-2.1033e-07,42.365,50,0
-0.0037193,0.052988,0.017547,-2.0576e-07,42.42,50,0
-0.0035876,0.052841,0.017177,-2.0118e-07,42.475,50,0
-0.0034559,0.052694,0.016808,-1.966e-07,42.53,50,0
-0.0033242,0.052547,0.016438,-1.9202e-07,42.585,50,0
-0.0031925,0.0524,0.016069,-1.8745e-07,42.64,50,0
-0.0030608,0.052253,0.015699,-1.8287e-07,42.695,50,0
-0.0029291,0.052107,0.01533,-1.7829e-07,42.75,50,0
-0.0027974,0.05196,0.01496,-1.7372e-07,42.805,50,0
-0.0026657,0.051813,0.014591,-1.6914e-07,42.86,50,0
-0.0025339,0.051666,0.014221,-1.6456e-07,42.915,50,0
-0.0024022,0.051519,0.013852,-1.5999e-07,42.97,50,0
-0.0022705,0.051372,0.013482,-1.5541e-07,43.025,50,0
-0.0021388,0.051226,0.013113,-1.5083e-07,43.08,50,0
-0.0020071,0.051079,0.012743,-1.4626e-07,43.135,50,0
-0.0018754,0.050932,0.012374,-1.4168e-07,43.19,50,0
-0.0017437,0.050785,0.012004,-1.371e-07,43.245,50,0
-0.001612,0.050638,0.011635,-1.3252e-07,43.3,50,0
-0.0014803,0.050492,0.011265,-1.2795e-07,43.355,50,0
-0.0013486,0.050345,0.010896,-1.2337e-07,43.41,50,0
-0.0012169,0.050198,0.010526,-1.1879e-07,43.465,50,0
-0.0010852,0.050051,0.010156,-1.1422e-07,43.52,50,0
-0.00095351,0.049904,0.009787,-1.0964e-07,43.575,50,0
-0.0008218,0.049757,0.0094174,-1.0506e-07,43.63,50,0
-0.0006901,0.049611,0.0090479,-1.0049e-07,43.685,50,0
-0.00055839,0.049464,0.0086784,-9.5908e-08,43.74,50,0
-0.0004267,0.049317,0.0083089,-9.1332e-08,43.795,50,0
-0.00029499,0.04917,0.0079394,-8.6755e-08,43.85,50,0
-0.00016329,0.049023,0.0075699,-8.2178e-08,43.905,50,0
-3.1586e-05,0.048877,0.0072003,-7.7601e-08,43.96,50,0
6.5464e-05,0.048738,0.0069062,-7.4256e-08,44.015,50,0
7.0098e-05,0.048624,0.0068132,-7.4196e-08,44.07,50,0
7.4731e-05,0.048509,0.0067201,-7.4136e-08,44.125,50,0
