Time,length,f_elec,f_flex,f_frac,f_grad,g_v
0,40,-1193.6,12.534,705.44,1.6387,100.2365606
1,40,-1220.4,44.68,726.02,5.4757,-29.26352827
2,40,-818.7,40.382,725.6,8.6313,-39.3476065
3,40,-577.87,39.914,726.91,10.586,-42.6124118
4,40,-426.82,41.957,727.88,11.562,-43.08523399
5,40,-338.96,43.751,735.09,12.671,-42.30127862
6,40,-273.56,47.881,736.12,12.797,-40.95193799
7,40,-226.1,51.673,734.4,12.576,-39.36429607
8,40,-191.84,55.133,732.13,12.275,-37.69618522
9,40,-166.39,58.165,729.45,11.951,-36.03958622
10,40,-146.96,60.75,726.52,11.635,-34.43587659
11,40,-131.75,62.908,723.43,11.339,-32.91077997
12,40,-119.58,64.675,720.27,11.067,-31.47152498
13,40,-109.63,66.091,717.09,10.819,-30.12151534
14,40,-101.35,67.198,713.95,10.595,-28.85749531
15,40,-94.337,68.035,710.87,10.39,-27.67426693
16,40,-88.324,68.639,707.87,10.203,-26.57041704
17,40,-83.099,69.045,704.97,10.031,-25.54039066
18,40,-78.512,69.284,702.19,9.8707,-24.57332935
19,40,-74.446,69.388,699.51,9.7215,-23.66604295
20,40,-70.814,69.386,696.96,9.5814,-22.81266557
21,40,-67.547,69.311,694.52,9.4489,-22.00871876
22,40,-66.386,69.262,693.33,9.5423,-21.25010966
23,40,-63.651,69.128,691.11,9.4199,-20.53681383
24,40,-62.885,69.025,689.82,9.5044,-19.86171879
25,40,-60.546,68.863,687.82,9.3891,-19.22163229
26,40,-58.392,68.557,685.92,9.2777,-18.61134021
27,40,-56.405,67.952,684.13,9.1694,-18.03258839
28,40,-54.57,66.932,682.44,9.0633,-8.798782458
29,40,-53.096,65.729,681.64,9.0193,-8.666627971
30,40,-51.735,64.143,680.86,8.9774,-8.536297935
31,40,-50.476,62.274,680.11,8.9351,-8.409146599
32,40,-49.307,60.217,679.38,8.891,-8.285701119
33,40,-50.461,57.992,679.41,9.0501,-8.163290013
34,40,-51.595,55.645,679.77,9.2323,-6.444723581
35,40,-50.636,53.436,679.24,9.1911,-6.370493257
36,40,-49.741,51.226,678.72,9.1484,-6.298085351
37,40,-48.903,49.035,678.22,9.1041,-6.227406886
38,40,-48.118,46.877,677.72,9.0583,-6.157341235
39,40,-47.381,44.763,677.24,9.0114,-6.088645085
40,40,-46.689,42.701,676.77,8.9634,-6.021856046
41,40,-46.037,40.695,676.31,8.9148,-5.955613281
42,40,-45.423,38.749,675.85,8.8656,-5.890290962
43,40,-44.844,36.865,675.41,8.8163,-5.827205104
44,40,-44.297,35.041,674.97,8.7668,-5.763688909
45,40,-43.78,33.276,674.54,8.7175,-5.702356523
46,40,-43.292,31.568,674.12,8.6684,-5.642391275
47,40,-42.829,29.914,673.7,8.6196,-5.581990416
48,40,-42.39,28.309,673.29,8.5712,-5.523867661
49,40,-41.974,26.751,672.89,8.5234,-5.466241342
50,40,-41.578,25.236,672.49,8.4761,-5.409812356
51,40,-41.202,23.76,672.1,8.4294,-5.353683674
52,40,-40.845,22.321,671.72,8.3833,-5.299570678
53,40,-40.504,20.916,671.34,8.3379,-5.245718679
54,40,-40.178,19.542,670.96,8.2932,-3.899083781
55,40,-39.893,18.2,670.69,8.2576,-3.871083811
56,40,-39.622,16.882,670.41,8.2231,-3.842143636
57,40,-39.364,15.589,670.14,8.1893,-3.814775946
58,40,-39.117,14.32,669.88,8.156,-3.787175339
59,40,-38.881,13.073,669.61,8.1232,-3.759703196
60,40,-38.654,11.847,669.35,8.0909,-3.732585168
61,40,-38.437,10.642,669.1,8.059,-3.705930554
62,40,-38.228,9.4567,668.84,8.0275,-3.679268079
63,40,-38.028,8.291,668.59,7.9964,-3.65377525
64,40,-37.835,7.1443,668.34,7.9657,-3.627400458
65,40,-37.648,6.0159,668.1,7.9353,-3.602595548
66,40,-37.469,4.9055,667.85,7.9054,-3.576735955
67,40,-37.296,3.8127,667.61,7.8759,-3.552328416
68,40,-37.128,2.737,667.37,7.8467,-3.527792346
69,40,-36.966,1.678,667.14,7.8179,-3.503409987
70,40,-36.81,0.63548,666.91,7.7894,-3.479344535
71,40,-36.659,-0.39102,666.68,7.7613,-3.455315462
72,40,-36.512,-1.4018,666.45,7.7336,-3.432007985
73,40,-36.37,-2.3972,666.22,7.7062,-3.409088993
74,40,-36.232,-3.3775,666,7.6791,-3.385323338
75,40,-36.098,-4.343,665.78,7.6524,-3.362308185
76,40,-35.968,-5.294,665.56,7.6259,-3.340392617
77,40,-35.842,-6.2308,665.34,7.5998,-3.317844436
78,40,-35.719,-7.1537,665.13,7.574,-3.295141105
79,40,-35.599,-8.0629,664.91,7.5485,-3.273421419
80,40,-35.483,-8.9587,664.7,7.5233,-3.251947482
81,40,-35.37,-9.8413,664.5,7.4984,-3.23061396
82,40,-35.26,-10.711,664.29,7.4738,-3.209456276
83,40,-35.153,-11.568,664.09,7.4495,-3.188618243
84,40,-35.049,-12.413,663.88,7.4254,-3.168587355
85,40,-34.947,-13.246,663.68,7.4016,-3.147478297
86,40,-34.847,-14.066,663.49,7.3781,-3.127300476
87,40,-34.75,-14.876,663.29,7.3549,-3.107857749
88,40,-34.656,-15.673,663.1,7.3319,-3.087497074
89,40,-34.563,-16.46,662.91,7.3091,-3.068531586
90,40,-34.473,-17.235,662.72,7.2867,-3.04886427
91,40,-34.385,-18,662.53,7.2644,-3.028941422
92,40,-34.299,-18.754,662.34,7.2425,-3.010613978
93,40,-34.215,-19.498,662.16,7.2207,-2.991532892
94,40,-34.133,-20.232,661.97,7.1992,-2.972966523
95,40,-34.052,-20.956,661.79,7.1779,-2.95429242
96,40,-33.974,-21.67,661.62,7.1569,-2.936179187
97,40,-33.897,-22.374,661.44,7.1361,-2.918602142
98,40,-33.822,-23.069,661.26,7.1155,-2.900058846
99,40,-33.748,-23.755,661.09,7.0951,-2.8823116
100,40,-33.676,-24.432,660.92,7.075,-2.86523444
