,t,crack_length,g_frac,g_v,Fy
0,1.0,40.0,13.000843608571063,90.29849641625462,811.7945119410026
372,373.0,40.5,18.25838917536581,-20.537313179795927,1271.9830515382846
408,409.0,41.0,18.511863597574607,-25.58319633503917,1315.2679030508564
440,441.0,41.5,18.686906174223846,-27.43777775506815,1349.2765523928913
469,470.0,42.0,19.043688281274832,-30.95804573097636,1379.7476882511492
498,499.0,42.5,19.05458980236978,-32.46534184781843,1408.456814271906
524,525.0,43.0,19.012938487994987,-36.08899424153698,1434.206845969892
550,551.0,43.5,19.061179306848995,-37.78168449100137,1458.2662031134278
575,576.0,44.0,19.137844758867665,-40.83839607671128,1480.4151217939725
598,599.0,44.5,19.43652169401526,-42.05424597372824,1499.002244253697
621,622.0,45.0,19.29933797511857,-45.19288155107262,1517.5372356326434
643,644.0,45.5,19.33493021076233,-46.62155447899696,1533.599578527641
665,666.0,46.0,19.380647806005697,-49.00706973177869,1548.3188331557117
686,687.0,46.5,19.69080437902321,-49.99989556083346,1560.4343286496764
706,707.0,47.0,19.534232615185765,-52.52987047740893,1572.2121122669969
726,727.0,47.5,19.561969620685208,-53.82769326156765,1582.3066766174911
746,747.0,48.0,19.59985317836893,-55.69266102849195,1590.789394149379
765,766.0,48.5,19.908743567760474,-56.588572578650094,1596.952981519692
784,785.0,49.0,19.74931474908981,-58.574221311280105,1603.7446409359911
802,803.0,49.5,19.762297345367035,-59.74722994528672,1608.7908636164943
820,821.0,50.0,20.042950800758945,-61.24749843951788,1612.351420259417
838,839.0,50.5,19.87046451862573,-62.30015105185844,1613.8481274803396
855,856.0,51.0,19.872154437641488,-64.1809848615334,1615.596256579714
872,873.0,51.5,19.888443074093207,-65.80717136452527,1613.925119499178
889,890.0,52.0,20.20303767335761,-67.3870812215129,1600.7525068778773
905,906.0,52.5,20.022473553078548,-68.9331317439003,1560.1844353531778
921,922.0,53.0,20.03559566544556,-70.36545811615684,1490.611787337684
937,938.0,53.5,20.06526917002286,-71.66239763583057,1408.8495925697105
953,954.0,54.0,20.39559084335937,-72.16035534007992,1327.472499663696
968,969.0,54.5,20.21580516366777,-73.70941013560943,1253.5824379999085
984,985.0,55.0,20.252312714876965,-76.09371259957092,1181.3768427212294
998,999.0,55.5,20.316518963182627,-81.06642145065598,1121.324828887577
1012,1013.0,56.0,20.43949630006192,-84.66291627569866,1072.8461999724482
1025,1026.0,56.5,20.843876309213023,-89.11465706654741,1029.395378160317
1039,1040.0,57.0,20.697618906562894,-91.1573701444192,1002.4542286170462
1051,1052.0,57.5,20.72080665508769,-95.6869354825092,1000.668407227329
1064,1065.0,58.0,20.76951483003088,-96.86260024935537,974.964037979105
1076,1077.0,58.5,21.149553123709254,-101.194673374502,971.657872860352
1089,1090.0,59.0,20.936039885849045,-103.7639682797186,1021.280011986694
1101,1102.0,59.5,20.92432889820465,-108.9056886774062,1021.437648665734
1112,1113.0,60.0,21.32490743339863,-114.99460056589984,946.3948252699216
1123,1124.0,60.5,21.377750187923308,-90.98928074631824,906.9377718392392
1143,1144.0,61.0,21.540348739699837,-73.22248814122224,851.3715069420083
